gene_symbol,log2FoldChange,pvalue
Gm42869,0.209569607966621,0.234424814438942
Tmem259,0.20953123135779,0.235569146725444
Nudt7,0.230821975404123,0.237225022387913
Tmem38b,-0.190776079438893,0.244945548659811
Gm15285,-0.242920273622367,0.244945548659811
Gm8399,-0.214310199735052,0.244945548659811
Stard7,-0.212863312855637,0.249074928461792
Gm14044,0.212518908018068,0.249479599610226
Ppargc1b,-0.179404288643742,0.249479599610226
Rab23,-0.199049140431285,0.253007348566539
Btg3,0.202438964709354,0.254569511538298
D630036H23Rik,0.176875927917953,0.259609266042919
Decr2,0.166590252744231,0.261545071406535
Trim34b,-0.186184384480718,0.262485634245165
Slc39a7,0.237974979802944,0.262766751334074
Mepce,0.182839519781472,0.265520725545625
Noa1,0.155733896237429,0.265520725545625
Lman1l,0.172113421160438,0.265520725545625
Eif3s6-ps4,-0.194234156517018,0.265520725545625
Tmem154,-0.190065836881386,0.265706414739657
Sphk1,0.186493007199056,0.267032017892522
Rad9b,-0.21579004092503,0.268931740349729
Ppp1r14a,0.220872953783641,0.268931740349729
Slc2a1,0.171634139128903,0.268931740349729
Gm14197,0.23294612191322,0.268931740349729
Magix,-0.196393027420475,0.268931740349729
Platr14,0.201709675760422,0.268931740349729
Gm5274,0.235506602873801,0.272279436343722
Ctsa,0.139385996793225,0.273563245992395
Pmm1,-0.0942574979821835,0.273563245992395
Pcdhga9,0.219165454361684,0.277140626637439
Slc16a6,-0.189827827071403,0.27759459705949
Sox12,0.235962219624406,0.279105264658293
1810011O10Rik,0.116221764730597,0.280537679485082
AI987944,0.174876700729926,0.280537679485082
Slamf9,0.23802717377096,0.280537679485082
Ttc32,0.224813446854667,0.280537679485082
Wdpcp,0.235093458546876,0.280537679485082
Gm27734,-0.227570489042407,0.280537679485082
Rbm47,-0.235586782034416,0.282114436013384
Gm37968,0.157402387255332,0.28262952955706
Gm42986,-0.170994802152694,0.28262952955706
Hepacam2,0.204912188567405,0.28262952955706
Igkv13-85,0.150254139840417,0.28262952955706
Gm14537,0.222517560474582,0.28262952955706
St3gal2,-0.180683504539073,0.28311103572704
Sumf1,-0.233406529643791,0.283215033558433
Gm13717,0.171947715708887,0.284301153157905
2310058D17Rik,0.104014549470919,0.288243291530987
Gm11855,-0.234152249919538,0.289890748897161
D430013B06Rik,0.149366697159969,0.29061972831997
Mpped2,-0.226105693097055,0.29061972831997
Nemf,0.226205280608338,0.293024945607956
Ggnbp2,-0.218550390758658,0.293024945607956
Gm14038,0.159789169895575,0.293903012860827
Fam181a,-0.235433615440793,0.293903012860827
Hcfc2,-0.193904626759654,0.293903012860827
Morn5,0.204649157723817,0.293903012860827
Gm12738,-0.0772071054988648,0.293903012860827
Dcaf6,-0.23377547858009,0.293903012860827
Brd7,-0.222567943652072,0.295938434339083
Ly6g5b,-0.23013291128624,0.295938434339083
Nqo2,-0.218390490262869,0.296711464828048
Ecm1,-0.179376707410138,0.296888922118176
Adgrg7,0.23231611751166,0.297589168744804
Gadd45b,0.17179998232534,0.298039986045233
Kif27,0.167736432573913,0.299498902938023
Mpeg1,0.161245861949441,0.299730183409237
Pdp1,-0.21135157755528,0.299730183409237
Wrnip1,-0.161459954277373,0.299730183409237
